task_id,method,k,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,dead_code_ratio,clipped_coordinate_rate
wine_rack,euclidean_farthest,128,192,233137.471658434,326989.6413223233,0.9427083333333334,0.9583333333333334,0.01706183133848151,0.045925541683955705,0.1328125,0.8671875,0.0
wine_rack,global_kmeans,32,192,204724.01798598366,414295.09458040213,0.875,0.9583333333333334,0.017552716293177995,0.057522141266060894,0.1875,0.8125,0.0
wine_rack,global_kmeans,64,768,209692.7591959558,384307.79927363695,0.91015625,0.9557291666666666,0.018319229326301433,0.054112345725419196,0.203125,0.796875,0.0
wine_rack,global_kmeans,128,192,209820.63635339486,262448.9129822037,0.90625,0.9583333333333334,0.017220992058472592,0.04912596816082159,0.1328125,0.8671875,0.0
wine_rack,old_diagonal_sensitivity,32,192,349556.4813279042,423785.6371508069,0.84375,0.9427083333333334,0.012955760301957608,0.42394091468313494,0.09375,0.90625,0.2074652777777778
wine_rack,old_diagonal_sensitivity,64,768,168769.51763074994,625307.1383363042,0.6979166666666666,0.9401041666666666,0.010680071014033642,0.3639869094380754,0.0625,0.9375,0.20084635416666666
wine_rack,old_diagonal_sensitivity,128,192,150798.4127173723,652560.4756192156,0.7760416666666666,0.9375,0.010813760865663801,0.2916076862869012,0.0234375,0.9765625,0.1091579861111111
wine_rack,pca_kmeans,32,192,163213.96118867586,395383.25490696327,0.90625,0.9583333333333334,0.01739584759748385,0.056515647689811314,0.21875,0.78125,0.0
wine_rack,pca_kmeans,64,768,218991.0705412804,458734.5848166801,0.8684895833333334,0.9557291666666666,0.017945693446593736,0.05531393814122171,0.171875,0.828125,0.0
wine_rack,pca_kmeans,128,192,231364.6300810141,357165.3656111898,0.8958333333333334,0.9583333333333334,0.016991766153738767,0.0487763079427261,0.1171875,0.8828125,0.0
wine_rack,permuted_j,32,192,540942.2671124534,459484.784151124,0.6510416666666666,0.8958333333333334,0.030352735178927236,1.007514783895833,0.21875,0.78125,0.9913194444444444
wine_rack,permuted_j,64,768,540616.8178442693,478029.09144832334,0.6653645833333334,0.91796875,0.022852624153933732,1.004485290231088,0.171875,0.828125,0.9891493055555556
wine_rack,permuted_j,128,192,539715.6702286564,460227.73840879765,0.7083333333333334,0.9114583333333334,0.02297144005443269,1.0072020451836805,0.1015625,0.8984375,0.9793836805555556
wine_rack,phase_conditioned_kmeans,32,192,211956.42478642496,406699.22463143786,0.90625,0.9583333333333334,0.016783094164155094,0.05000010396659588,0.125,0.875,0.0
wine_rack,phase_conditioned_kmeans,64,768,198839.2821029171,358041.27244643593,0.9205729166666666,0.9557291666666666,0.01800541386531766,0.04991036700383853,0.10546875,0.89453125,0.0
wine_rack,phase_conditioned_kmeans,128,192,185758.8351993726,369754.57068333565,0.9166666666666666,0.9583333333333334,0.017007448004723588,0.04887308401557509,0.052734375,0.947265625,0.0
wine_rack,random_spd,32,192,299271.88842014864,246538.55660326406,0.734375,0.9114583333333334,0.03779455924909517,0.3936044992075649,0.25,0.75,0.287109375
wine_rack,random_spd,64,768,328735.7093007809,337260.84686499124,0.7513020833333334,0.8984375,0.03828949432258574,0.3973939115961395,0.296875,0.703125,0.2975260416666667
wine_rack,random_spd,128,192,494050.82564719993,534822.9156822994,0.7291666666666666,0.8645833333333334,0.053932519940845414,0.43418182929526017,0.140625,0.859375,0.31640625
