task_id,phase,method,k,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,dead_code_ratio,clipped_coordinate_rate
plate_push,pre_contact,euclidean_farthest,32,48,177.59064948086697,215.99059314669321,0.4791666666666667,1.0,7.05190967425982e-05,0.129471403305149,0.125,0.875,0.0
plate_push,pre_contact,euclidean_farthest,64,192,159.65990847409975,177.9273213484827,0.7447916666666666,1.0,4.0980387348189416e-05,0.0883390305831705,0.0625,0.9375,0.0
plate_push,pre_contact,euclidean_farthest,128,48,157.22338604263402,181.80589971197142,0.75,1.0,4.225628917334018e-05,0.08608389952249658,0.03125,0.96875,0.0
plate_push,pre_contact,global_kmeans,32,48,164.01576693710624,234.05674910465208,0.25,1.0,6.636884570775559e-05,0.09011306753546079,0.0625,0.9375,0.0
plate_push,pre_contact,global_kmeans,64,192,97.99077547637569,165.84971464210932,0.5052083333333334,1.0,3.334531242815428e-05,0.09100384272137367,0.0625,0.9375,0.0
plate_push,pre_contact,global_kmeans,128,48,149.03942467557178,178.47374619409493,0.75,1.0,4.8123530686545015e-05,0.08497550199703237,0.03125,0.96875,0.0
plate_push,pre_contact,old_diagonal_sensitivity,32,48,1710.846318092402,970.2487419597755,1.0,1.0,0.0018636163654564008,0.7926127381715959,0.03125,0.96875,0.59375
plate_push,pre_contact,old_diagonal_sensitivity,64,192,459.66173417343754,351.6083002728469,0.005208333333333333,1.0,0.0005667424595132399,0.6543119394289248,0.015625,0.984375,0.3528645833333333
plate_push,pre_contact,old_diagonal_sensitivity,128,48,666.6858378864691,779.6248083168521,1.0,1.0,0.0007206885082976518,0.4375109186005754,0.0078125,0.9921875,0.20833333333333334
plate_push,pre_contact,pca_kmeans,32,48,86.18890688179765,223.4488134243147,0.5,1.0,3.547315866420029e-05,0.09285397275804465,0.09375,0.90625,0.0
plate_push,pre_contact,pca_kmeans,64,192,125.0446033559703,186.0338799549672,0.7447916666666666,1.0,5.743065066495004e-05,0.08177727491998836,0.0625,0.9375,0.0
plate_push,pre_contact,pca_kmeans,128,48,132.33103795733751,185.86418343970362,0.75,1.0,4.8602261914620295e-05,0.07883074695231136,0.0234375,0.9765625,0.0
plate_push,pre_contact,permuted_j,32,48,745.0772477089528,350.4649270829357,0.0,1.0,0.00044933109067824516,1.0686455131653017,0.03125,0.96875,1.0
plate_push,pre_contact,permuted_j,64,192,716.3091634942072,317.4678722688449,0.005208333333333333,1.0,0.00034470517606968693,1.0706760601773795,0.015625,0.984375,1.0
plate_push,pre_contact,permuted_j,128,48,1592.9240305652763,395.29034461104055,0.5,1.0,0.0031795007759961506,1.0716495826673158,0.0078125,0.9921875,1.0
plate_push,pre_contact,phase_conditioned_kmeans,32,48,176.48844791017925,233.6738685892021,0.5,1.0,5.2617396574258595e-05,0.09826185475123429,0.125,0.875,0.0
plate_push,pre_contact,phase_conditioned_kmeans,64,192,175.60232247754288,233.10487436013145,0.484375,1.0,5.28757594082182e-05,0.098418248089273,0.09375,0.90625,0.0
plate_push,pre_contact,phase_conditioned_kmeans,128,48,177.35539038571906,231.14934555361734,0.5,1.0,5.223097007411523e-05,0.09761080056186594,0.0546875,0.9453125,0.0
plate_push,pre_contact,random_spd,32,48,227.18704176328478,295.8649578103934,0.0,1.0,6.0656555249050084e-05,0.2780749445800728,0.03125,0.96875,0.0
plate_push,pre_contact,random_spd,64,192,233.8100749257225,301.3484852352067,0.005208333333333333,1.0,6.160850794017184e-05,0.28434104334708404,0.015625,0.984375,0.0
plate_push,pre_contact,random_spd,128,48,742.1588374292824,360.338037365307,0.25,1.0,0.0014497609864045247,0.35044310419553737,0.015625,0.984375,0.010416666666666666
stove_turn_on,contact_onset,caaa_v2,32,48,2564.537216953709,581.2046258300037,0.4583333333333333,0.3333333333333333,0.06492570608330173,0.7063987435124218,0.03125,0.96875,0.4513888888888889
stove_turn_on,contact_onset,caaa_v2,64,192,2823.5496890639392,1002.0250610595302,0.4322916666666667,0.4479166666666667,0.06305776678058442,0.7097108627230507,0.015625,0.984375,0.4661458333333333
stove_turn_on,contact_onset,caaa_v2,128,48,2698.0432228091677,728.8529870764502,0.4791666666666667,0.4583333333333333,0.06351777733337671,0.7134025399331557,0.0078125,0.9921875,0.4791666666666667
stove_turn_on,contact_onset,covariance_mahalanobis,32,48,177.82726115798266,241.47968791672884,0.9791666666666666,1.0,0.003063215487404006,0.04922939442244326,0.03125,0.96875,0.0
stove_turn_on,contact_onset,covariance_mahalanobis,64,192,239.5584023809678,168.38207579071636,0.9947916666666666,1.0,0.006139162969314102,0.04504074412304702,0.078125,0.921875,0.0
stove_turn_on,contact_onset,covariance_mahalanobis,128,48,188.3648214546513,255.70854882754807,0.875,1.0,0.004816300154123079,0.04494983057719488,0.046875,0.953125,0.0
stove_turn_on,contact_onset,euclidean_farthest,32,48,234.1526759963125,263.31557265445235,0.9583333333333334,1.0,0.006463346717893108,0.054304278901461646,0.03125,0.96875,0.0
stove_turn_on,contact_onset,euclidean_farthest,64,192,248.65159912247825,207.85369121200293,0.984375,1.0,0.006175665734713186,0.053259215318183915,0.0625,0.9375,0.0
stove_turn_on,contact_onset,euclidean_farthest,128,48,233.94556143180475,188.74066070060678,1.0,1.0,0.005546068634841935,0.04540447006645848,0.0546875,0.9453125,0.0
stove_turn_on,contact_onset,global_kmeans,32,48,284.34612141106885,286.3944167827716,1.0,1.0,0.0067418135906354175,0.048567052785185034,0.0625,0.9375,0.0
