action_reconstruction_rmse,atlas_size,atlas_unique,balanced_task_effect_error,clipped,contact_force_effect_error,contact_mode_preserved,decoded_bank_index,decoded_mode,decoded_uncertainty,direction_family_id,direction_id,episode_id,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,method,nearest_predicted_distance,phase,radius,sign,split,target_id,target_mode,target_uncertainty,task_id,task_progress_abs_error
0.0,,,0.0,0,0.0,1,-1,0,,2,22,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.09795402513655502,1,calibration,91,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,2,23,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.057247448964495545,-1,calibration,92,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,2,23,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.057247448964495545,1,calibration,93,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,2,23,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.061110988078312924,-1,calibration,94,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,2,23,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,free_space,0.061110988078312924,1,calibration,95,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,1,,0,0,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.0550548701950561,-1,calibration,0,1,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,0,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.0550548701950561,1,calibration,1,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,1,,0,0,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06496418473455434,-1,calibration,2,1,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,0,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06496418473455434,1,calibration,3,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,1,,0,1,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06113187404362161,-1,calibration,4,1,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,1,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06113187404362161,1,calibration,5,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,1,,0,1,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06452468632827828,-1,calibration,6,1,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,1,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06452468632827828,1,calibration,7,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,2,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.055088078703584356,-1,calibration,8,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,2,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.055088078703584356,1,calibration,9,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,2,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.09390098559366519,-1,calibration,10,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,1,,0,2,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.09390098559366519,1,calibration,11,1,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,1,,0,3,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06046983666887576,-1,calibration,12,1,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,3,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06046983666887576,1,calibration,13,0,,bowl_on_plate,0.0
