candidate_distance_spearman,direction_family_id,inference_latency_ms,kendall_tau,level,method,n,ndcg_at_16,o1_baseline_gap_fraction_closed,oracle_neighbor_recall_at_1,oracle_neighbor_recall_at_8,oracle_regret,pairwise_accuracy,phase,split,task_id
0.311882257619,ALL,0.0903003133822,0.215768235301,task,C1_NC_VECTOR,1536,0.375526247803,-0.143264086885,0.05859375,0.146647135417,0.497618446173,0.60788411765,ALL,development,bowl_on_plate
0.24795395775,ALL,0.062157509357,0.16934687533,task,C1_NC_VECTOR,1536,0.398529948702,-0.632632686172,0.0709635416667,0.125651041667,0.321958748025,0.584673437665,ALL,development,plate_push
0.321357012707,ALL,0.0717013328868,0.222778127078,task,C1_NC_VECTOR,1536,0.508311695342,-0.782172256627,0.0807291666667,0.164794921875,0.29500589771,0.611389063539,ALL,development,stove_turn_on
0.318718175809,ALL,0.0866541935617,0.2176841817,task,C1_NC_VECTOR,1536,0.581501892645,-0.275571893091,0.09375,0.16943359375,0.221804375724,0.60884209085,ALL,development,wine_rack
0.197317892814,ALL,0.0563155477064,0.134916239829,phase,C1_NC_VECTOR,1536,0.31753423322,-0.293207426924,0.041015625,0.104817708333,0.436836572549,0.567458119914,contact_onset,development,ALL
0.440904280331,ALL,0.109201107635,0.305490479352,phase,C1_NC_VECTOR,1536,0.841121948009,-2.31996841271,0.147786458333,0.252848307292,0.0486892656512,0.652745239676,free_space,development,ALL
0.288452793468,ALL,0.0836021066056,0.198513619187,phase,C1_NC_VECTOR,1536,0.357159079189,-0.655382483985,0.0494791666667,0.12060546875,0.402222857195,0.599256809594,post_contact,development,ALL
0.273236437272,ALL,0.0616945872404,0.186657081041,phase,C1_NC_VECTOR,1536,0.348054524076,-0.191781846798,0.0657552083333,0.128255208333,0.448638772236,0.59332854052,pre_contact,development,ALL
0.296655815086,0,0.077703337297,0.204206900926,direction_family,C1_NC_VECTOR,2048,0.477559952419,-0.323686559913,0.0849609375,0.15673828125,0.332191175108,0.602103450463,ALL,development,ALL
0.312605925911,1,0.077703337297,0.216077772326,direction_family,C1_NC_VECTOR,2048,0.443626457572,-0.402082388189,0.08837890625,0.162963867188,0.336292947741,0.608038886163,ALL,development,ALL
0.290671811917,2,0.077703337297,0.198898391305,direction_family,C1_NC_VECTOR,2048,0.476715928379,-0.401963112548,0.0546875,0.135192871094,0.333806477875,0.599449195652,ALL,development,ALL
0.392128223848,ALL,0.077703337297,0.277671481908,pooled,C2_NC_TEMPORAL_VECTOR,6144,0.471288111089,-0.34399912741,0.0673828125,0.15928141276,0.326551874536,0.638835740954,ALL,development,ALL
0.394868427969,ALL,0.0903003133822,0.283386413623,task,C2_NC_TEMPORAL_VECTOR,1536,0.383003145928,-0.100920134807,0.0696614583333,0.15380859375,0.479187768712,0.641693206812,ALL,development,bowl_on_plate
0.337071393166,ALL,0.062157509357,0.233648771953,task,C2_NC_TEMPORAL_VECTOR,1536,0.405827980563,-0.540943593438,0.0618489583333,0.13671875,0.303877457754,0.616824385976,ALL,development,plate_push
0.474487914866,ALL,0.0717013328868,0.341302818468,task,C2_NC_TEMPORAL_VECTOR,1536,0.519214285448,-0.702993618883,0.0677083333333,0.179524739583,0.281899327893,0.670651409234,ALL,development,stove_turn_on
0.362085159391,ALL,0.0866541935617,0.252347923588,task,C2_NC_TEMPORAL_VECTOR,1536,0.577107032418,-0.387360900776,0.0703125,0.167073567708,0.241242943787,0.626173961794,ALL,development,wine_rack
0.216333418793,ALL,0.0563155477064,0.147402357351,phase,C2_NC_TEMPORAL_VECTOR,1536,0.315029693248,-0.372318787438,0.0299479166667,0.099853515625,0.463559845905,0.573701178675,contact_onset,development,ALL
0.695993410322,ALL,0.109201107635,0.507674545955,phase,C2_NC_TEMPORAL_VECTOR,1536,0.873352537392,-1.45979943617,0.139322916667,0.289713541667,0.036074387858,0.753837272977,free_space,development,ALL
0.344110893113,ALL,0.0836021066056,0.2404776844,phase,C2_NC_TEMPORAL_VECTOR,1536,0.351926953151,-0.599718212525,0.0338541666667,0.11767578125,0.388697619054,0.6202388422,post_contact,development,ALL
0.312075173163,ALL,0.0616945872404,0.215131339926,phase,C2_NC_TEMPORAL_VECTOR,1536,0.344843260567,-0.110061455094,0.06640625,0.1298828125,0.417875645328,0.607565669963,pre_contact,development,ALL
0.382181528127,0,0.077703337297,0.27051771185,direction_family,C2_NC_TEMPORAL_VECTOR,2048,0.472341690156,-0.291058351585,0.08154296875,0.150939941406,0.324002829623,0.635258855925,ALL,development,ALL
0.412070001955,1,0.077703337297,0.293207604016,direction_family,C2_NC_TEMPORAL_VECTOR,2048,0.462205531265,-0.357245633853,0.0869140625,0.183288574219,0.325538740706,0.646603802008,ALL,development,ALL
0.382133141462,2,0.077703337297,0.269289129857,direction_family,C2_NC_TEMPORAL_VECTOR,2048,0.479317111847,-0.386455195773,0.03369140625,0.143615722656,0.33011405328,0.634644564929,ALL,development,ALL
0.664871859506,ALL,4.36254791401,0.530149432293,pooled,C3_NC_BIENCODER,6144,0.619579052988,0,0.250813802083,0.378153483073,0.242970302492,0.765074716146,ALL,development,ALL
0.549349174457,ALL,4.61236403513,0.433390158624,task,C3_NC_BIENCODER,1536,0.465493520232,0,0.196614583333,0.314860026042,0.43526115434,0.716695079312,ALL,development,bowl_on_plate
0.705123621605,ALL,4.25888273829,0.554972513409,task,C3_NC_BIENCODER,1536,0.594522988109,0,0.233072916667,0.358479817708,0.197202194193,0.777486256704,ALL,development,plate_push
0.73162162624,ALL,4.30350085147,0.593692151644,task,C3_NC_BIENCODER,1536,0.704688632414,0,0.268229166667,0.420654296875,0.165531640734,0.796846075822,ALL,development,stove_turn_on
0.673393015722,ALL,4.27544403116,0.538542905495,task,C3_NC_BIENCODER,1536,0.713611071195,0,0.305338541667,0.418619791667,0.173886220703,0.769271452748,ALL,development,wine_rack
0.543813680066,ALL,4.30200294583,0.399358495886,phase,C3_NC_BIENCODER,1536,0.461113554445,0,0.119791666667,0.222981770833,0.337793120774,0.699679247943,contact_onset,development,ALL
0.97104519648,ALL,4.33463829935,0.862037470946,phase,C3_NC_BIENCODER,1536,0.989267826699,0,0.607421875,0.76611328125,0.0146655809931,0.931018735473,free_space,development,ALL
0.655014732915,ALL,4.43020461982,0.506919351678,phase,C3_NC_BIENCODER,1536,0.576019488555,0,0.149088541667,0.307047526042,0.242978804649,0.753459675839,post_contact,development,ALL
