action_reconstruction_rmse,balanced_task_effect_error,baseline_error,baseline_method,best_error,best_method,control_error,control_method,dimension,episode_id,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,gain_retention,linear_extrapolation_nrmse,mean_antithetic_asymmetry,mean_log_radius_scaling_deviation,method,n,phase,reproduced_gain,row_type,split,task_id,value
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.3373787862872662,P3_mode_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.3458086172646396,P4_state_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.4179532330478973,P5_effect_shuffled_atlas,,,,,,,,0.0,,,,,,,False,,development,,
,,0.3325983705199762,B2_phase_residual,0.3310918063219148,MC_NCEA,0.36531783433210313,P6_random_latent_atlas,,,,,,,,0.0,,,,,,,False,,development,,
0.022954911673519318,0.3420305864587528,,,,,,,task,,0.5360192149437969,0.8444243030781798,0.0,0.170663161021396,0.1590462532503913,,,,,MC_NCEA,1536,,,quantization_decomposition,,,stove_turn_on
0.022574106464616217,0.34061054405425967,,,,,,,task,,0.9519247587333873,0.05760093839944028,0.28587347081702996,0.019625426535200403,0.38802812578624035,,,,,MC_NCEA,1536,,,quantization_decomposition,,,wine_rack
0.022503568051097742,0.026941592486444493,,,,,,,phase,,0.0,1.9502639851924298e-08,1.2452364888672296e-29,0.0,0.13470794292958257,,,,,MC_NCEA,1536,,,quantization_decomposition,,,free_space
0.023169473962988667,0.47549821558275274,,,,,,,phase,,1.413443830694882,0.34096042636628887,0.19570682216748117,0.10958369364074012,0.31779630504437134,,,,,MC_NCEA,1536,,,quantization_decomposition,,,pre_contact
0.022481690899427306,0.4155117393292434,,,,,,,phase,,1.082149772228304,0.420959439230675,0.22956998909319407,0.069807181755913,0.2750723143381311,,,,,MC_NCEA,1536,,,quantization_decomposition,,,contact_onset
0.022646833549599007,0.4064156778892185,,,,,,,phase,,0.9846656655891234,0.4502696194763675,0.23033984025370033,0.12542285211121917,0.24138041201568225,,,,,MC_NCEA,1536,,,quantization_decomposition,,,post_contact
0.022800903794029503,0.3341951196931383,,,,,,,direction_family,,0.8699973098338827,0.30671007563800706,0.17052636271508428,0.07138756899781436,0.25235428128090315,,,,,MC_NCEA,3072,,,quantization_decomposition,,,0
0.02080573388268756,0.3239999456228464,,,,,,,direction_family,,0.8644846033831327,0.2800214753176335,0.1571584578842358,0.08164745738173747,0.23668773414749236,,,,,MC_NCEA,1536,,,quantization_decomposition,,,1
0.024394024992366165,0.3319770402785362,,,,,,,direction_family,,0.8757800454614117,0.3187478779823235,0.15740546819997117,0.08039113213050614,0.22756067761846857,,,,,MC_NCEA,1536,,,quantization_decomposition,,,2
0.022973451671948707,0.39052572173131633,,,,,,,task,,0.9197269295611769,0.2472207602807268,0.3052952912394368,0.12008388279654077,0.36030174477870053,,,,,NCEA,1536,,,quantization_decomposition,,,bowl_on_plate
0.022232621203073243,0.3092962805331933,,,,,,,task,,1.1718889905530672,0.11716291769568853,0.12136236481882356,0.008031500174349648,0.12803562942403768,,,,,NCEA,1536,,,quantization_decomposition,,,plate_push
0.022958474367636816,0.38011801987351107,,,,,,,task,,0.5728970162062689,0.9516432886964843,0.0,0.1740220667159548,0.2020277277488475,,,,,NCEA,1536,,,quantization_decomposition,,,stove_turn_on
0.022641372324154602,0.3403577538582483,,,,,,,task,,0.9048770977348292,0.0410732790909732,0.31730654814830844,0.01200025094179383,0.4265315933753369,,,,,NCEA,1536,,,quantization_decomposition,,,wine_rack
0.022802337205683993,0.03833292339298892,,,,,,,phase,,0.0,2.0804514498858854e-08,1.2004223964513e-29,0.0,0.1916645961604301,,,,,NCEA,1536,,,quantization_decomposition,,,free_space
0.022539829608585336,0.4899709897502038,,,,,,,phase,,1.4365456920224549,0.3851262626256742,0.21223258464704242,0.08974087407870639,0.3262095353771413,,,,,NCEA,1536,,,quantization_decomposition,,,pre_contact
0.02269673032431051,0.4670515334800582,,,,,,,phase,,1.1470036286315723,0.46362845419566917,0.29622876119578323,0.07940422954846908,0.3489925938287967,,,,,NCEA,1536,,,quantization_decomposition,,,contact_onset
0.02276702242823353,0.4249423293730183,,,,,,,phase,,0.9858407134013151,0.5083455081380149,0.23550285836374316,0.14499259700146358,0.25002996996055454,,,,,NCEA,1536,,,quantization_decomposition,,,post_contact
0.022698549564131938,0.360323723945565,,,,,,,direction_family,,0.9075614805436892,0.3385619249089881,0.18840673412106945,0.08280827295817429,0.28428020719590347,,,,,NCEA,3072,,,quantization_decomposition,,,0
0.02076486777414196,0.346695577705491,,,,,,,direction_family,,0.8752059767967396,0.3229926835738132,0.18180401880089847,0.06966051190910132,0.2838146974469022,,,,,NCEA,1536,,,quantization_decomposition,,,1
0.02464395266440753,0.35295475039964835,,,,,,,direction_family,,0.879061096171224,0.35698371237208343,0.18534671716353138,0.07886064280318915,0.2645215834882136,,,,,NCEA,1536,,,quantization_decomposition,,,2
0.02373718338167714,0.12608012216660766,,,,,,,task,,0.28948506286525305,0.040760272812409806,0.12910536379914114,0.006597103349432912,0.16445280800680143,,,,,O1_true_effect_oracle,1536,,,quantization_decomposition,,,bowl_on_plate
0.023635110051909058,0.12539106608199788,,,,,,,task,,0.4243685976673928,0.03849104691303309,0.0757018432498447,0.004192135262866145,0.08420170731685268,,,,,O1_true_effect_oracle,1536,,,quantization_decomposition,,,plate_push
0.02365961704988131,0.1293543824399148,,,,,,,task,,0.07646977064027173,0.4013816803252562,0.0,0.03527850922692443,0.13364195200712162,,,,,O1_true_effect_oracle,1536,,,quantization_decomposition,,,stove_turn_on
0.02346602146316382,0.15281418253707857,,,,,,,task,,0.4602871231048586,0.01623609093033793,0.1091999059866313,0.004650508189182114,0.173697284474383,,,,,O1_true_effect_oracle,1536,,,quantization_decomposition,,,wine_rack
0.02253227043623938,0.02418984724323904,,,,,,,phase,,0.0,1.4800276980813484e-08,1.5596278224312612e-29,0.0,0.12094922141591824,,,,,O1_true_effect_oracle,1536,,,quantization_decomposition,,,free_space
0.02414493714381405,0.20138841176432373,,,,,,,phase,,0.5365890737097329,0.14548720144239266,0.08918805219007814,0.022126412897742743,0.21355131858167228,,,,,O1_true_effect_oracle,1536,,,quantization_decomposition,,,pre_contact
0.024034411904324964,0.15480281254121353,,,,,,,phase,,0.365797460368668,0.170270506737178,0.10783505006877504,0.017210701614804407,0.11290034391664222,,,,,O1_true_effect_oracle,1536,,,quantization_decomposition,,,contact_onset
0.023786312462252938,0.1532586816768226,,,,,,,phase,,0.3482240201993754,0.18111136800118935,0.11698401077676396,0.011381141515858456,0.108592867890926,,,,,O1_true_effect_oracle,1536,,,quantization_decomposition,,,post_contact
0.02372762464162659,0.1353899598078584,,,,,,,direction_family,,0.3138311229759996,0.12506429235242844,0.08133814867771692,0.013367771315367538,0.14334846371777946,,,,,O1_true_effect_oracle,3072,,,quantization_decomposition,,,0
0.022051555457643552,0.14789131010070403,,,,,,,direction_family,,0.3705604911555196,0.1340071739085292,0.07969605998757706,0.012092821707245854,0.14310000374464846,,,,,O1_true_effect_oracle,1536,,,quantization_decomposition,,,1
0.024991127205734587,0.11496852350917812,,,,,,,direction_family,,0.2523878171702574,0.11273333236765093,0.07163475569260624,0.011889891690424674,0.1261968206249514,,,,,O1_true_effect_oracle,1536,,,quantization_decomposition,,,2
0.02355655316344753,0.39486006021449604,,,,,,,task,,0.9477509311342391,0.24844803168268145,0.3021383207789439,0.11004962558487093,0.36591339189174515,,,,,O2_linear_j_oracle,1536,,,quantization_decomposition,,,bowl_on_plate
0.02298206712655153,0.31561686534510164,,,,,,,task,,1.1811436294608968,0.12258074836929,0.1324653108471772,0.009435697175910147,0.1324589408722341,,,,,O2_linear_j_oracle,1536,,,quantization_decomposition,,,plate_push
0.023206268653470436,0.35301999175176263,,,,,,,task,,0.47188745937180787,0.9439734431126964,0.0,0.17620003973479803,0.17303901653951081,,,,,O2_linear_j_oracle,1536,,,quantization_decomposition,,,stove_turn_on
0.02286076192708107,0.3504200990883317,,,,,,,task,,0.9189205767900838,0.06130235047143592,0.3195271927766987,0.016712720180990098,0.43563765522245007,,,,,O2_linear_j_oracle,1536,,,quantization_decomposition,,,wine_rack
0.022392874087887645,0.029974416155191124,,,,,,,phase,,0.0,1.900374929745051e-08,1.2899427161442874e-29,0.0,0.14987206177220633,,,,,O2_linear_j_oracle,1536,,,quantization_decomposition,,,free_space
0.023198377549376054,0.515689977886014,,,,,,,phase,,1.4721626000414616,0.3916265321525305,0.23244335214823816,0.10007755361460983,0.3821398514732302,,,,,O2_linear_j_oracle,1536,,,quantization_decomposition,,,pre_contact
0.02330297051736079,0.4485280725552578,,,,,,,phase,,1.061855781059143,0.5112812067181793,0.2772777522414906,0.08160748482086187,0.31061813793661425,,,,,O2_linear_j_oracle,1536,,,quantization_decomposition,,,contact_onset
0.023711428715926085,0.41972454980322915,,,,,,,phase,,0.9856842156564234,0.47339681576164455,0.24440972001309103,0.1307130442410975,0.2644189533438893,,,,,O2_linear_j_oracle,1536,,,quantization_decomposition,,,post_contact
0.023260743233742092,0.3583923556950481,,,,,,,direction_family,,0.8877388695548865,0.3468021591641131,0.19488152229936415,0.07595928335711932,0.28657994409975746,,,,,O2_linear_j_oracle,3072,,,quantization_decomposition,,,0
0.021315227052474184,0.34690637117296763,,,,,,,direction_family,,0.8629026325199581,0.34081125549624586,0.18471912455128567,0.07719092461572308,0.268907918681625,,,,,O2_linear_j_oracle,1536,,,quantization_decomposition,,,1
0.024768937350592202,0.3502259338366283,,,,,,,direction_family,,0.8813222251272967,0.3418889998116315,0.17964865525280582,0.0832885913466075,0.2649811976448002,,,,,O2_linear_j_oracle,1536,,,quantization_decomposition,,,2
0.02228083745250126,0.3406014822948948,,,,,,,task,,0.8664474303317679,0.16418475323181256,0.2570647341626023,0.11039400563367961,0.30491648811461153,,,,,P3_mode_shuffled_atlas,1536,,,quantization_decomposition,,,bowl_on_plate
0.02262848167722852,0.2972486319582583,,,,,,,task,,1.1080785381799576,0.1314811227322168,0.10989818119929433,0.00988187415297137,0.1269034435268511,,,,,P3_mode_shuffled_atlas,1536,,,quantization_decomposition,,,plate_push
0.022605119416402836,0.36067908920437786,,,,,,,task,,0.5573012738842422,0.8689224015553568,0.0,0.21077920934579344,0.16639256123649676,,,,,P3_mode_shuffled_atlas,1536,,,quantization_decomposition,,,stove_turn_on
0.022764577224483325,0.35098594169153396,,,,,,,task,,0.9405559491288238,0.043212436700709476,0.31732507198853616,0.014153684603216428,0.43968256603638406,,,,,P3_mode_shuffled_atlas,1536,,,quantization_decomposition,,,wine_rack
0.022865365975604707,0.03317212448052631,,,,,,,phase,,0.0,1.760302421673455e-08,1.1764316502425726e-29,0.0,0.16586060479960732,,,,,P3_mode_shuffled_atlas,1536,,,quantization_decomposition,,,free_space
0.022846766752478816,0.4825187306484628,,,,,,,phase,,1.4168677592981205,0.3548680838410431,0.19457917429291696,0.1412266144197358,0.3050520213904975,,,,,P3_mode_shuffled_atlas,1536,,,quantization_decomposition,,,pre_contact
0.02229249715756215,0.4315701221686914,,,,,,,phase,,1.0970294213571041,0.39566223560935004,0.27013903533593564,0.07306639872527358,0.32195351981579345,,,,,P3_mode_shuffled_atlas,1536,,,quantization_decomposition,,,contact_onset
0.022274385884970268,0.4022541678513843,,,,,,,phase,,0.9584860108695669,0.4572703771666782,0.21956977772158012,0.13091576059065152,0.24502891290844508,,,,,P3_mode_shuffled_atlas,1536,,,quantization_decomposition,,,post_contact
0.022668568543941947,0.3403082061091626,,,,,,,direction_family,,0.8644074835278271,0.30524239969361283,0.17803201424749485,0.08546736930256264,0.2683917637743153,,,,,P3_mode_shuffled_atlas,3072,,,quantization_decomposition,,,0
0.020665289565376988,0.32380493205122085,,,,,,,direction_family,,0.8437953892038971,0.29573030223868096,0.15725805741101015,0.0772586678747478,0.24498224352776807,,,,,P3_mode_shuffled_atlas,1536,,,quantization_decomposition,,,1
0.024276589117355057,0.34509380087951885,,,,,,,direction_family,,0.89977283526524,0.3015856125941889,0.17096590144443288,0.0970153672557878,0.25612928783794475,,,,,P3_mode_shuffled_atlas,1536,,,quantization_decomposition,,,2
