B2_error,C3_FULL_error,C3_K64_error,C5_error,O_FULL_error,O_K64_error,c4_override_loss,consequence_group,direction_family_id,learned_compression_loss,learned_metric_loss,level,n_targets,oracle_bank_compression_loss,phase,split,task_id
0.335578862169,0.265919550084,0.328349506008,0.399792590244,0.120507701816,0.199356822662,0.0714430842359,tcp_object_relative_pose,ALL,0.0624299559239,0.145411848268,phase,1536,0.0788491208463,pre_contact,DEVELOPMENT_EPISODES_36_39,ALL
1.20423759825,1.02571227739,1.22922558776,1.3513516798,0.0867442325294,0.620626720439,0.12212609204,contact_mode_and_penetration,ALL,0.203513310375,0.938968044857,phase,1536,0.53388248791,pre_contact,DEVELOPMENT_EPISODES_36_39,ALL
0.280704572696,0.19047948988,0.293912199731,0.392577842465,0.0248270981156,0.0780434199733,0.0986656427332,gripper_and_articulation,ALL,0.103432709851,0.165652391765,phase,1536,0.0532163218576,pre_contact,DEVELOPMENT_EPISODES_36_39,ALL
0.0893233835371,0.050104893841,0.0824001955267,0.0580702992022,0.00523600856805,0.0126377479799,-0.0243298963245,task_progress_and_constraint,ALL,0.0322953016856,0.044868885273,phase,1536,0.00740173941181,pre_contact,DEVELOPMENT_EPISODES_36_39,ALL
0.296808191573,0.235328210784,0.287498075714,0.355736662558,0.0365389851211,0.132163326034,0.0682385868444,BALANCED_TASK_EFFECT,0,0.0521698649303,0.198789225663,direction_family,2048,0.0956243409127,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.183844868388,0.16178429774,0.194557839246,0.232875886277,0.0467274568826,0.0850225332058,0.0383180470302,object_pose,0,0.032773541506,0.115056840858,direction_family,2048,0.0382950763231,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.230216644842,0.17945461918,0.246890880813,0.324654784367,0.06516577926,0.128089417431,0.0777639035533,tcp_object_relative_pose,0,0.0674362616336,0.11428883992,direction_family,2048,0.0629236381712,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.740846206257,0.620194270397,0.71536664445,0.829550561857,0.0473508229226,0.356027522223,0.114183917408,contact_mode_and_penetration,0,0.0951723740531,0.572843447474,direction_family,2048,0.3086766993,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.263088336655,0.169451853917,0.224533277186,0.328601328145,0.0182563336108,0.0827343647928,0.104068050959,gripper_and_articulation,0,0.0550814232688,0.151195520306,direction_family,2048,0.064478031182,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.0660449017249,0.0457560126853,0.0561417368751,0.0630007521463,0.0051945329297,0.00894279251622,0.00685901527112,task_progress_and_constraint,0,0.0103857241899,0.0405614797556,direction_family,2048,0.00374825958653,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.340465298065,0.237119623349,0.293605069656,0.42874083943,0.0537525832882,0.158331435821,0.135135769774,BALANCED_TASK_EFFECT,1,0.0564854463061,0.183367040061,direction_family,2048,0.104578852533,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.199994209097,0.140421047222,0.189600404771,0.318208368614,0.0714597670535,0.101032264584,0.128607963843,object_pose,1,0.0491793575491,0.0689612801686,direction_family,2048,0.0295724975302,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.275188864328,0.169833734161,0.238026159052,0.394456017854,0.0997803703803,0.149246669365,0.156429858801,tcp_object_relative_pose,1,0.0681924248914,0.0700533637806,direction_family,2048,0.0494662989848,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.766813200055,0.64706749669,0.736442051191,0.893677710377,0.0621921306417,0.413664777916,0.157235659186,contact_mode_and_penetration,1,0.0893745545011,0.584875366049,direction_family,2048,0.351472647274,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.373607292862,0.175345490509,0.230578575179,0.442825783059,0.0302433689759,0.11712157792,0.21224720788,gripper_and_articulation,1,0.0552330846701,0.145102121533,direction_family,2048,0.0868782089446,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.0867229239828,0.0529303481651,0.0733781580841,0.0945363172462,0.00508727938941,0.0105918893189,0.0211581591621,task_progress_and_constraint,1,0.020447809919,0.0478430687757,direction_family,2048,0.00550460992948,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.287242308616,0.21602968875,0.268347068237,0.34043061518,0.0302477378321,0.122576982875,0.072083546943,BALANCED_TASK_EFFECT,2,0.0523173794872,0.185781950918,direction_family,2048,0.0923292450433,ALL,DEVELOPMENT_EPISODES_36_39,ALL
0.178097958013,0.141937260911,0.171107344505,0.209201523307,0.0420102309124,0.0797955493237,0.0380941788016,object_pose,2,0.0291700835941,0.0999270299989,direction_family,2048,0.0377853184113,ALL,DEVELOPMENT_EPISODES_36_39,ALL
