evidence_set,task_id,phase,method,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,assignment_normalized_entropy,normalized_codebook_perplexity,dead_code_ratio,clipped_coordinate_rate,infeasible_assignment_rate,infeasible_token_rate,solver_latency_ms_mean
old_test_internal_screen,plate_push,post_contact,M4_reca,192,179.44439492659907,123.5461962170592,1.0,1.0,0.0011450781481948302,0.02871038424969344,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,8.501150300844529
old_test_internal_screen,plate_push,post_contact,M5_phase_residual_kmeans,192,0.03901733137613472,5.137304100250524e-06,1.0,1.0,9.96015283017832e-09,1.1166652368400736e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,post_contact,M6_permuted_j_reca,192,185.32017053169116,128.34799596766592,1.0,1.0,0.0012261066953889762,0.02871038424969345,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,8.436810851208065
old_test_internal_screen,plate_push,post_contact,M7_random_spd_constrained,192,166.99617863515985,114.51292534413368,1.0,1.0,0.0011510731236453258,0.02054096942247394,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.26965934011968784
old_test_internal_screen,plate_push,post_contact,O1_true_effect_oracle,192,82.38710689005562,70.48109609038931,1.0,1.0,0.000573967469192482,0.017236757045726952,0.9375,0.9256539178672979,0.7499050891128586,0.0625,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,post_contact,O2_linear_j_oracle,192,92.05839134276164,64.4885085988663,1.0,1.0,0.0005688271904756578,0.014805632354018319,0.9166666666666666,0.944120641581307,0.8054773235334359,0.08333333333333337,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,pre_contact,M0_frozen_caaa_v2,192,652.0769287607641,542.9532185379885,0.2552083333333333,1.0,0.00031859395488367885,1.079820603688277,0.015625,-0.0,0.015625,0.984375,1.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,pre_contact,M1_covariance_mahalanobis,192,173.63625002816534,227.06331721500018,0.2552083333333333,1.0,5.7194559686380264e-05,0.1970673391911887,0.09375,0.3922423687626514,0.07985099597409243,0.90625,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,pre_contact,M2_centered_covariance_residual,192,0.16691878571447336,0.2137926774367579,1.0,1.0,1.2837692893778765e-07,5.386055796112386e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,pre_contact,M3_cara,192,50.9424296113487,90.29409683798492,0.9947916666666666,1.0,2.153017070856891e-05,0.020609400864582735,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,pre_contact,M4_reca,192,56.72415679342455,86.96893796618004,0.9947916666666666,1.0,2.2297057080953967e-05,0.028712131476227004,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,8.49968601164619
old_test_internal_screen,plate_push,pre_contact,M5_phase_residual_kmeans,192,0.20366551489403162,0.2619979199811466,1.0,1.0,1.698794818573724e-07,9.371216030097031e-18,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,pre_contact,M6_permuted_j_reca,192,59.318523782501536,81.19927077517089,0.9947916666666666,1.0,2.4947912929700495e-05,0.028712131476227,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,8.37075104300311
old_test_internal_screen,plate_push,pre_contact,M7_random_spd_constrained,192,53.011062489194224,80.02954997681103,0.9947916666666666,1.0,2.3503073815821706e-05,0.02101520742062858,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0078125,0.2719719805099885
old_test_internal_screen,plate_push,pre_contact,O1_true_effect_oracle,192,21.43457565606335,59.37276651578693,0.9947916666666666,1.0,9.837226626463109e-06,0.017893817773215772,0.9791666666666666,0.9291793779268236,0.7602097752193595,0.02083333333333337,0.0,0.0,0.0,0.0
old_test_internal_screen,plate_push,pre_contact,O2_linear_j_oracle,192,24.189718397589413,58.738187078736075,0.9947916666666666,1.0,1.1510392675868658e-05,0.017433875263973598,1.0,0.932188041107013,0.7691158090906217,0.0,0.0,0.0,0.0,0.0
